DateTime,SA05_CR_1F_TTHT_TT155.PV,SA05_CR_1F_TTHT_TT156.PV,SA05_CR_1F_TTHT_TT02.PV,SA05_CR_1F_TTHT_TT03.PV,SA05_CR_1F_TTHT_TT04.PV,SA05_CR_1F_TTHT_TT50.PV,SA05_CR_1F_TTHT_TT51.PV,SA05_CR_1F_TTHT_TT52.PV,SA05_CR_1F_TTHT_TT53.PV,SA05_CR_1F_TTHT_TT54.PV
05/01/2023 00:35:00,21.85763931,21.73958397,19.80323982,23.26099396,24.2043972,21.02234077,23.21411896,22.43634415,21.06192017,19.51006889
05/01/2023 00:36:00,21.89236069,21.73958397,19.80323982,23.26099396,24.2043972,21.02234077,23.21411896,22.43634415,21.09085464,19.51006889
05/01/2023 00:37:00,21.94444275,21.6875,19.80323982,23.26099396,24.2043972,21.12361145,23.21411896,22.43634415,21.06192017,19.51006889
05/01/2023 00:38:00,21.85763931,21.73958397,19.80323982,23.26099396,24.2043972,21.12361145,23.14178085,22.43634415,21.09085464,19.51006889
05/01/2023 00:39:00,21.89236069,21.73958397,19.80323982,23.26099396,24.2043972,21.10914612,23.14178085,22.43634415,21.06192017,19.52453423
05/01/2023 00:40:00,21.82291603,21.79166603,19.80323982,23.26099396,24.2043972,21.12361145,23.14178085,22.43634415,21.09085464,19.51006889
05/01/2023 00:41:00,21.75347137,21.73958397,19.80323982,23.26099396,24.2043972,21.12361145,23.14178085,22.43634415,21.09085464,19.51006889
05/01/2023 00:42:00,21.75347137,21.73958397,19.80323982,23.26099396,24.2043972,21.12361145,23.14178085,22.43634415,21.09085464,19.51006889
05/01/2023 00:43:00,21.71875,21.79166603,19.80323982,23.26099396,24.2043972,21.12361145,23.21411896,22.43634415,21.09085464,19.51006889
05/01/2023 00:44:00,21.75347137,21.73958397,19.80323982,23.26099396,24.2043972,21.12361145,23.21411896,22.43634415,21.09085464,19.52453423
05/01/2023 00:45:00,21.75347137,21.73958397,19.80323982,23.36227036,24.2043972,21.12361145,23.21411896,22.43634415,21.06192017,19.51006889
05/01/2023 00:46:00,21.75347137,21.73958397,19.80323982,23.36227036,24.2043972,21.12361145,23.21411896,22.43634415,21.06192017,19.51006889
05/01/2023 00:47:00,21.82291603,21.73958397,19.80323982,23.36227036,24.2043972,21.12361145,23.21411896,22.43634415,21.06192017,19.52453423
05/01/2023 00:48:00,21.82291603,21.73958397,19.80323982,23.36227036,24.2043972,21.12361145,23.14178085,22.43634415,21.06192017,19.52453423
05/01/2023 00:49:00,21.82291603,21.73958397,19.80323982,23.36227036,24.2043972,21.12361145,23.14178085,22.43634415,21.06192017,19.52453423
05/01/2023 00:50:00,21.89236069,21.73958397,19.80323982,23.36227036,24.2043972,21.12361145,23.14178085,22.43634415,21.06192017,19.51006889
05/01/2023 00:51:00,21.89236069,21.6875,19.80323982,23.36227036,24.2043972,21.02234077,23.14178085,22.43634415,21.06192017,19.52453423
05/01/2023 00:52:00,21.89236069,21.73958397,19.80323982,23.47800827,24.2043972,21.02234077,23.14178085,22.43634415,21.09085464,19.51006889
05/01/2023 00:53:00,21.89236069,21.73958397,19.80323982,23.47800827,24.2043972,21.02234077,23.14178085,22.43634415,21.06192017,19.51006889
05/01/2023 00:54:00,21.94444275,21.73958397,19.80323982,23.47800827,24.2043972,21.02234077,23.14178085,22.55208588,21.06192017,19.51006889
05/01/2023 00:55:00,21.89236069,21.73958397,19.80323982,23.47800827,24.2043972,21.02234077,23.14178085,22.55208588,21.09085464,19.51006889
05/01/2023 00:56:00,21.94444275,21.73958397,19.80323982,23.47800827,24.2043972,21.02234077,23.02603912,22.55208588,21.09085464,19.51006889
05/01/2023 00:57:00,21.94444275,21.73958397,19.80323982,23.47800827,24.2043972,21.12361145,23.02603912,22.55208588,21.06192017,19.52453423
05/01/2023 00:58:00,21.94444275,21.73958397,19.80323982,23.47800827,24.2043972,21.12361145,23.02603912,22.55208588,21.09085464,19.51006889
05/01/2023 00:59:00,21.89236069,21.6875,19.80323982,23.47800827,24.2043972,21.12361145,23.02603912,22.55208588,21.09085464,19.51006889
05/01/2023 01:00:00,21.85763931,21.73958397,19.80323982,23.47800827,24.2043972,21.02234077,23.02603912,22.55208588,21.09085464,19.51006889
05/01/2023 01:01:00,21.82291603,21.70486069,19.80323982,23.47800827,24.2043972,21.02234077,23.02603912,22.55208588,21.06192017,19.51006889
05/01/2023 01:02:00,21.89236069,21.6875,19.80323982,23.47800827,24.2043972,21.02234077,23.02603912,22.55208588,21.09085464,19.52453423
05/01/2023 01:03:00,21.94444275,21.73958397,19.80323982,23.47800827,24.2043972,21.12361145,23.02603912,22.55208588,21.06192017,19.51006889
05/01/2023 01:04:00,21.94444275,21.73958397,19.80323982,23.47800827,24.2043972,21.12361145,23.02603912,22.63888931,21.09085464,19.51006889
05/01/2023 01:05:00,21.94444275,21.73958397,19.80323982,23.47800827,24.2043972,21.12361145,23.02603912,22.63888931,21.09085464,19.51006889
05/01/2023 01:06:00,21.94444275,21.73958397,19.80323982,23.47800827,24.2043972,21.12361145,23.02603912,22.63888931,21.06192017,19.51006889
05/01/2023 01:07:00,22.01388931,21.6875,19.80323982,23.47800827,24.2043972,21.23935127,23.02603912,22.75463104,21.09085464,19.52453423
05/01/2023 01:08:00,22.01388931,21.73958397,19.80323982,23.47800827,24.2043972,21.23935127,23.02603912,22.75463104,21.09085464,19.51006889
05/01/2023 01:09:00,22.08333397,21.6875,19.80323982,23.47800827,24.2043972,21.23935127,23.02603912,22.63888931,21.06192017,19.51006889
05/01/2023 01:10:00,22.08333397,21.6875,19.80323982,23.47800827,24.2043972,21.23935127,23.02603912,22.65335464,21.06192017,19.51006889
05/01/2023 01:11:00,22.08333397,21.73958397,19.80323982,23.47800827,24.2043972,21.22488594,23.02603912,22.75463104,21.09085464,19.51006889
05/01/2023 01:12:00,21.94444275,21.73958397,19.80323982,23.47800827,24.2043972,21.31169128,23.02603912,22.75463104,21.06192017,19.51006889
05/01/2023 01:13:00,22.01388931,21.6875,19.80323982,23.47800827,24.2043972,21.31169128,23.02603912,22.75463104,21.06192017,19.51006889
05/01/2023 01:14:00,22.15277863,21.73958397,19.6875,23.47800827,24.2043972,21.31169128,23.02603912,22.75463104,21.09085464,19.51006889
05/01/2023 01:15:00,22.1875,21.73958397,19.6875,23.47800827,24.2043972,21.31169128,23.02603912,22.75463104,21.09085464,19.52453423
05/01/2023 01:16:00,22.25694466,21.73958397,19.6875,23.47800827,24.2043972,21.23935127,23.02603912,22.76909637,21.06192017,19.51006889
05/01/2023 01:17:00,22.25694466,21.73958397,19.6875,23.47800827,24.2043972,21.23935127,23.02603912,22.75463104,21.09085464,19.51006889
05/01/2023 01:18:00,22.25694466,21.73958397,19.6875,23.47800827,24.2043972,21.23935127,23.02603912,22.75463104,21.06192017,19.51006889
05/01/2023 01:19:00,22.27430534,21.73958397,19.6875,23.47800827,24.2043972,21.23935127,23.02603912,22.76909637,21.09085464,19.52453423
05/01/2023 01:20:00,22.1875,21.73958397,19.6875,23.47800827,24.2043972,21.23935127,23.02603912,22.75463104,21.06192017,19.51006889
05/01/2023 01:21:00,22.1875,21.6875,19.6875,23.47800827,24.2043972,21.23935127,23.02603912,22.76909637,21.06192017,19.51006889
05/01/2023 01:22:00,22.1875,21.73958397,19.6875,23.47800827,24.2043972,21.23935127,23.02603912,22.76909637,21.06192017,19.51006889
05/01/2023 01:23:00,22.1875,21.73958397,19.6875,23.47800827,24.2043972,21.23935127,23.02603912,22.85590363,21.09085464,19.51006889
05/01/2023 01:24:00,22.1875,21.73958397,19.6875,23.47800827,24.2043972,21.31169128,23.02603912,22.85590363,21.09085464,19.51006889
05/01/2023 01:25:00,22.15277863,21.73958397,19.71643448,23.47800827,24.2043972,21.31169128,23.02603912,22.85590363,21.09085464,19.52453423
05/01/2023 01:26:00,22.08333397,21.6875,19.6875,23.47800827,24.2043972,21.29722214,23.02603912,22.85590363,21.06192017,19.52453423
05/01/2023 01:27:00,22.1875,21.6875,19.6875,23.47800827,24.2043972,21.31169128,23.04050827,22.85590363,21.09085464,19.51006889
05/01/2023 01:28:00,22.1875,21.6875,19.6875,23.47800827,24.2043972,21.31169128,23.04050827,22.85590363,21.06192017,19.51006889
05/01/2023 01:29:00,22.1875,21.6875,19.6875,23.47800827,24.2043972,21.29722214,23.02603912,22.85590363,21.06192017,19.51006889
